id,data_venda,cliente,vendedor,produto,categoria,quantidade,preco_unitario,desconto,regiao,canal,valor_total
1efa6c33-23d0-4631-9f04-25500ac7df20,2025-08-28,Porto,Danilo Freitas,O prazer de realizar seus sonhos naturalmente,Serviços,100,178.26,0.06,Leste,Loja Física,16756.44
d3b7af33-8a9b-4508-a8cf-b3ae63c9a726,2024-01-24,Macedo,João Guilherme Cavalcante,A simplicidade de avançar antes de tudo,Alimentação,72,287.86,0.14,Oeste,Loja Física,17824.29
257864e4-266b-406e-a0fc-2b6b4816710f,2024-04-19,da Conceição - ME,Maria Liz Dias,A arte de realizar seus sonhos com toda a tranquilidade,Serviços,61,80.71,0.17,Norte,Loja Física,4086.35
781d5ee3-cb0c-4f70-b336-e2260b740240,2025-06-11,Pereira e Filhos,João Vitor Borges,O prazer de atingir seus objetivos com força total,Bebidas,13,428.85,0.02,Centro,Online,5463.55
cf48c3c3-e3f6-4711-8017-8fd1f8faa8da,2024-10-07,Correia Vargas Ltda.,Thomas Cardoso,A segurança de evoluir simplesmente,Alimentação,84,10.62,0.16,Norte,Online,749.35
ea1c0568-503b-4615-b90f-3b74139eaefb,2025-10-05,Sales e Filhos,Dr. Rhavi Gonçalves,O conforto de evoluir com força total,Utensílios,50,423.54,0.08,Oeste,Telefone,19482.84
a0bd5dd4-d310-431a-9092-bbf2977b8f29,2025-02-08,Mendonça Ltda.,Théo Vieira,A segurança de conseguir de maneira eficaz,Alimentação,82,175.93,0.07,Leste,Telefone,13416.42
e53a74d6-a75c-499b-aeb7-285203939a9b,2024-04-30,Novaes,Cauê Montenegro,O prazer de conseguir naturalmente,Bebidas,32,127.67,0.12,Norte,Telefone,3595.19
5d1c07ad-271d-4c15-aac1-c9a9aafaa0b4,2025-09-14,Brito,Guilherme Pires,A segurança de ganhar com força total,Serviços,70,67.15,0.1,Norte,Telefone,4230.45
7430a835-1047-48f0-b81d-226c1165aea7,2024-11-28,Fernandes,Mariah Fonseca,A arte de realizar seus sonhos simplesmente,Bebidas,94,184.12,0.04,Sul,Representante,16614.99
66922980-3d37-4d70-b090-c4fee74faf6d,2024-10-27,Gonçalves,Lucas Gabriel Alves,A vantagem de realizar seus sonhos em estado puro,Utensílios,28,454.42,0.18,Sul,Telefone,10433.48
92dfd153-83f7-4934-8077-990fe95ce540,2025-08-17,Cavalcanti Sales - EI,Marcela Sá,A possibilidade de avançar antes de tudo,Bebidas,3,189.35,0.02,Norte,Representante,556.69
eb458f83-0226-4efa-882e-b19861402bfd,2024-02-14,Leão - ME,Maria Liz Campos,O prazer de conseguir antes de tudo,Serviços,74,378.45,0.13,Leste,Telefone,24364.61
470f1aa9-a2a5-4e4c-855d-e3378a534eba,2024-04-16,Pinto S/A,Dante Macedo,O prazer de ganhar de maneira eficaz,Alimentação,6,193.4,0.01,Sul,Telefone,1148.8
29ee4f24-711c-4474-9294-233742068369,2023-11-17,Correia e Filhos,Pietro Nogueira,A simplicidade de evoluir com toda a tranquilidade,Bebidas,67,481.57,0.04,Centro,Online,30974.58
801c2080-d11a-4f0c-9a7e-80364148fa96,2024-09-17,Siqueira,Sophie Sales,A liberdade de ganhar sem preocupação,Serviços,17,199.44,0.08,Norte,Telefone,3119.24
f07a3420-c7af-4c11-b1de-ad4b813700b8,2024-01-20,Duarte S.A.,Yago Duarte,A simplicidade de concretizar seus projetos naturalmente,Alimentação,41,344.66,0.09,Oeste,Online,12859.26
